Batch,CURRENT,PRES_DISCHARGE,FREQUENCY,PRES_INTAKE,TEMP_INTAKE,TEMP_MOTOR_PUMP,VIBRATION,Failure
0,20.16514459,113.2167451,58.68790968,86.04132476,133.7805249,193.898919,0.33,0
1,21.18009336,121.7384884,56.87717698,88.8880325,103.107946,197.7757371,0.32,0
2,20.04911751,107.725344,56.55454949,89.78387669,134.4615803,190.113412,0.34,0
3,20.91526488,116.2005681,57.00653611,88.74972367,114.6050025,199.934861,0.33,0
4,18.48156863,110.5339679,59.60599257,89.06825252,136.9888356,197.0354298,0.32,0
5,21.6115268,101.4911486,58.50382629,85.54201105,129.8446875,199.3192554,0.32,0
6,23.14659497,101.8288443,58.13948153,86.87491268,131.4032509,198.9119031,3.39,0
7,20.94670906,103.0712675,55.35539645,81.80581027,119.2807184,210.3786068,1.25,0
8,28.35246153,94.54698236,59.7425115,80.98924784,147.0231979,214.7783021,0.32,0
9,23.43930303,82.53780964,58.30982047,79.80416815,94.2722623,217.3973707,0.36,0
10,17.21051777,83.71286616,58.98614362,84.23309153,117.2730504,227.955468,0.35,0
11,20.10091147,113.2167451,60.03336734,84.85296167,144.6301763,219.0772621,0.36,0
12,22.12624606,71.61941553,66.40938268,69.74838616,102.592833,213.1227647,0.36,0
13,21.82224749,69.08543018,63.73678831,85.42823529,137.770105,249.9409783,0.37,0
14,26.28814049,74.90705503,59.2054902,82.03445494,148.5109695,221.5414227,0.36,0
15,27.48985683,67.11753187,63.08176113,70.06036809,154.5678614,235.0716834,0.38,0
16,26.67292388,70.50034689,65.59078233,85.42823529,162.5438921,232.1746535,0.37,0
17,32.50309525,65.49143121,64.79095256,66.42746773,146.7238233,265.0975737,0.37,0
18,23.2598754,46.77172804,59.2054902,72.26814686,173.1183343,258.8519773,0.37,0
19,30.06175274,103.8366649,59.69467943,71.02034081,133.560058,253.5877594,0.37,0
20,28.96809437,118.1473128,59.2054902,85.50300353,134.1432873,286.0050695,0.37,0
21,23.12438014,114.1429116,59.2054902,85.40916058,134.6794673,213.1227647,0.36,0
22,18.48156863,113.3198092,56.47930441,88.14504578,113.7410994,191.6217692,0.38,0
23,23.18485148,104.6021636,57.80845083,94.57941904,132.5702605,188.0822537,0.35,0
24,27.41943676,104.2167932,57.19410686,86.79330501,109.8815376,183.9164027,0.36,0
25,25.92825764,93.17175216,59.41919025,90.30159092,110.5284125,189.8396382,0.37,0
26,25.14451096,104.5539813,58.40101215,85.18693456,102.6935396,187.1784891,0.37,0
27,27.76745384,94.51370698,56.86470724,85.96250597,128.6665431,191.053434,0.38,0
28,31.49843811,98.01858752,58.69902059,90.31007045,119.8344685,198.1994418,0.37,0
29,24.90309796,81.96246959,62.84448667,88.43753011,108.3656495,203.9790851,0.36,0
30,18.48156863,84.82650852,59.2054902,82.98323261,132.2388283,183.0257238,0.35,0
31,18.04215984,63.40141267,60.81392219,85.31386259,106.4026964,196.5693447,0.36,0
32,24.8262377,70.88584442,61.10771647,84.54195576,103.8328613,205.366816,0.36,0
33,23.72665484,71.86351119,60.87504748,85.1865349,92.8822499,208.9461348,0.37,0
34,26.20600361,65.15963646,60.81647006,85.1652896,127.0031834,201.8697763,0.36,0
35,18.73325971,67.96939973,61.25841983,83.22987683,122.6174884,210.9351559,0.35,0
36,19.36643528,66.27476896,59.2054902,81.21565937,131.8192762,226.5698007,0.35,0
37,26.44393136,55.83848654,57.43901721,77.92789067,135.2815738,214.253,0.35,0
38,18.48156863,48.20655076,62.05668684,75.01021017,127.7999158,210.5904323,0.34,0
39,19.41299459,74.29048685,68.75409621,66.53597213,139.9895566,226.2813538,0.36,0
40,16.99828264,122.3664201,54.13336456,69.99745517,156.7140538,243.1464246,0.35,0
41,18.08433632,106.1307232,57.51375517,85.42823529,124.1758824,277.9273531,0.35,0
42,21.10100133,115.4901258,59.2054902,71.79914833,137.486676,269.6628274,0.35,0
43,24.5920953,112.6745175,56.78595644,66.71119179,149.1889125,258.1552586,0.36,0
44,25.64362675,110.6133747,59.18299075,85.42823529,119.2438986,287.3368323,0.37,0
45,24.56629609,113.4509835,58.06358355,69.34542273,179.7439266,260.1912937,0.37,0
46,26.10590093,109.5838848,57.6240737,66.03294191,150.0844661,298.4888909,0.35,0
47,27.11460399,105.8570341,57.5173771,82.78828091,127.0313965,206.857073,0.37,0
48,18.48156863,100.9732527,58.11819278,74.73785863,129.5001666,207.4195777,0.37,0
49,18.73315841,97.62275721,57.03354469,72.37398882,96.20373433,221.4078499,0.37,0
50,26.73454849,79.85150226,59.23729032,75.21999428,124.1758824,210.0893599,0.37,0
51,18.48156863,66.62013263,63.76020789,66.25416141,152.6691206,251.6668891,0.37,0
52,25.3099575,62.33260952,56.31765054,66.49368538,134.8904714,251.2279481,0.37,0
53,27.42352004,60.87368395,65.89803557,85.42823529,128.1236757,248.7585612,0.36,0
54,26.43536936,55.51589651,58.37245169,75.79131505,139.2582924,271.0856734,0.37,0
55,21.84804155,73.34854147,59.20296477,64.80961033,151.6016842,234.3226618,0.38,0
56,17.52942914,107.9957636,55.33060834,69.2907527,137.7639526,293.0425332,0.38,0
57,26.85280762,112.5282345,57.29036286,69.90046594,135.9798812,224.2520003,0.38,0
58,18.48156863,99.28623354,58.87979508,66.11408628,118.2357024,292.8650023,0.39,0
59,23.80155308,86.21834585,59.05182389,64.67757527,152.1958656,277.2538726,0.38,0
60,22.80951548,82.02501341,62.43456228,85.42823529,155.3366366,306.9090013,0.36,0
61,18.48156863,79.36529029,60.51339151,84.35010664,118.4223254,212.1698774,0.39,0
62,20.32521429,75.67126563,62.30615443,79.6834366,136.1563793,196.3691874,0.39,0
63,18.48156863,64.70884013,59.2054902,80.26524894,132.4806855,212.4435848,0.38,0
64,22.90038365,69.8202951,62.52528453,75.10412116,134.9260033,190.9065675,0.37,0
65,18.30054045,113.2167451,59.2054902,85.42823529,160.1146238,192.8701506,0.36,0
66,19.11032029,48.02479939,73.11696006,79.26218492,127.4252267,196.2212437,0.35,0
67,18.37611228,72.23321908,58.97691676,76.29838829,128.5649349,197.4130976,0.35,0
68,16.96415515,69.3785491,59.67341277,70.66661434,151.0344958,199.7790921,0.36,0
69,18.90117982,71.7691367,59.99630415,70.48928258,149.4235922,203.6417967,0.36,0
70,19.69141565,63.2167451,61.64834441,68.30668277,176.5516953,204.1227644,0.35,0
71,19.87900389,73.2167451,62.19067979,71.35171978,115.2049968,206.7439937,0.37,0
72,20.77409264,72.76907539,64.91613621,63.86725382,124.1758824,207.0810949,0.38,0
73,21.485581,67.15357833,58.61613393,64.47099313,133.055433,209.2347797,0.31,0
74,22.03371975,63.78084023,74.11081725,66.74719496,173.646817,211.0085119,0.34,0
75,23.48263489,63.93803818,69.82429933,64.51937416,151.0216784,212.2724638,0.32,0
76,24.98755379,51.03850712,70.00658548,63.79164257,173.2566287,214.51469,0.34,0
77,25.55216679,53.35426659,75.03106557,58.74880561,188.8937315,215.9917367,0.32,0
78,29.23570364,49.2991834,67.97451293,94.54247272,114.3751162,218.5696334,0.33,1
79,21.7069265,48.8451025,69.37396308,80.13558155,107.4034033,221.0811053,0.35,1
80,26.77780483,54.4457325,67.17544233,83.85268358,126.8681451,222.5567339,0.36,1
81,24.48156863,76.93253678,68.21409358,84.79403879,113.4686581,225.9162621,0.36,1
82,20.67336787,59.90966333,65.12396328,87.54276226,122.315028,230.6084954,0.36,1
83,20.98591029,70.56054447,67.95103965,66.53597213,139.9895566,226.2813538,0.36,1
84,24.64397214,76.21719242,70.94172089,69.99745517,156.7140538,243.1464246,0.37,1
85,22.4454857,72.78383314,66.37512153,85.42823529,124.1758824,277.9273531,0.38,1
86,20.95226791,74.39758988,63.32865552,71.79914833,137.486676,269.6628274,0.37,1
87,21.6099846,66.81194161,68.85658495,66.71119179,149.1889125,258.1552586,0.38,1
88,24.48156863,57.46538538,62.14145785,85.42823529,119.2438986,287.3368323,0.37,1
89,22.41118165,62.4755202,59.7339413,69.34542273,179.7439266,260.1912937,0.38,1
90,21.3377872,54.6393317,58.85121997,66.03294191,150.0844661,298.4888909,0.36,1
91,24.03559581,60.8269774,59.13956611,82.78828091,127.0313965,206.857073,0.38,1
92,21.01113097,64.5687684,58.21383249,74.73785863,129.5001666,207.4195777,0.38,1
93,24.62698899,66.9107854,59.16181128,72.37398882,96.20373433,221.4078499,0.39,1
94,28.18362779,71.9625639,59.07442821,75.21999428,124.1758824,210.0893599,0.38,1
95,29.8543938,80.9866237,58.71579977,66.25416141,152.6691206,251.6668891,0.39,1
96,26.54072483,88.6969871,59.880935,66.49368538,134.8904714,251.2279481,0.39,1
97,23.57784315,91.4390476,59.2054902,85.42823529,128.1236757,248.7585612,0.38,1
98,21.25943105,96.6366389,58.86327987,75.79131505,139.2582924,271.0856734,0.34,1
99,28.93787225,98.0230921,59.88664283,64.80961033,151.6016842,234.3226618,0.35,1
100,21.56535345,98.21362298,58.75658636,69.2907527,137.7639526,293.0425332,0.37,1
101,18.48156863,98.48518797,58.29600986,69.90046594,135.9798812,224.2520003,0.38,1
102,23.29472196,92.19261617,56.82192954,66.11408628,118.2357024,292.8650023,0.38,1
103,30.80888261,113.2167451,56.88482537,64.67757527,152.1958656,217.2538726,0.38,0
104,20.83023941,99.39595799,57.83698401,85.42823529,155.3366366,214.9090013,0.39,0
105,24.14993363,98.68286009,56.30418286,84.35010664,118.4223254,212.1698774,0.38,0
106,34.81145976,92.56725149,61.84008752,79.6834366,136.1563793,196.3691874,0.39,0
107,20.50877287,85.84490457,62.0066737,80.26524894,132.4806855,212.4435848,0.39,0
108,16.65846477,90.98900487,63.13001214,75.10412116,134.9260033,190.9065675,0.39,0
109,20.78613153,102.8004757,63.15446716,85.42823529,160.1146238,192.8701506,0.34,0
110,22.83689183,104.4836335,59.7667205,79.26218492,127.4252267,216.2212437,0.36,0
111,24.82170861,107.7023836,60.85194815,76.29838829,128.5649349,212.4130976,0.32,0
112,24.59101679,103.944458,59.2054902,70.66661434,151.0344958,213.7790921,0.32,0
113,30.84378171,108.6913137,59.2054902,70.48928258,149.4235922,214.6417967,0.35,0
114,27.7156225,115.1333523,60.70491628,68.30668277,176.5516953,213.1227647,0.32,0
115,20.89390918,122.3947973,61.34988997,71.35171978,115.2049968,214.7439937,0.33,0
116,19.89824982,110.2463739,56.59978984,63.86725382,124.1758824,211.0810949,0.33,0
117,24.92854127,129.6177526,59.2054902,64.47099313,133.055433,214.2347797,0.34,0
118,23.10918674,126.3627951,59.86207344,66.74719496,173.646817,213.0085119,0.34,0
119,21.40877604,120.3026093,60.81368432,64.51937416,151.0216784,212.2724638,0.37,0
120,19.67345866,132.9754857,60.29712986,63.79164257,173.2566287,216.51469,0.35,0
121,27.11929992,122.6351899,59.2054902,58.74880561,188.8937315,216.9917367,0.35,0
122,28.81983954,129.3519737,56.31394455,94.54247272,114.3751162,185.5696334,0.35,0
123,24.78370235,113.2167451,58.36435423,80.13558155,107.4034033,201.0811053,0.33,0
124,21.4458449,128.2241912,59.83512324,83.85268358,126.8681451,182.5567339,0.32,0
125,25.69099671,122.6747967,56.92850507,84.79403879,113.4686581,195.9162621,0.34,0
126,30.82270986,123.170244,58.19501234,87.54276226,122.315028,191.6084954,0.34,0
127,18.48156863,128.5715631,58.51295517,85.42823529,124.1758824,213.1227647,0.35,0
128,19.69119693,115.7459784,58.09192138,85.42823529,94.15198224,195.3592724,0.34,0
129,24.15123153,116.701436,57.67857409,87.43399351,125.5758449,198.0083037,0.35,0
130,26.39195268,125.7623502,57.81103497,90.08974981,132.7686381,193.2202501,0.34,0
131,21.70401734,115.3986994,58.26416978,85.82018656,109.6294117,195.013132,0.36,0
132,27.15578943,110.9700496,58.61215274,82.57167607,115.9320992,194.9355183,0.38,0
133,18.97187595,105.5292447,56.68712144,83.10028804,105.1112506,196.9206696,0.38,0
134,28.88817301,86.06591762,55.76410635,86.03645273,119.5609178,199.6450444,0.27,0
135,23.91346574,73.60967551,64.13943088,90.06904792,132.6652896,192.6947645,0.13,0
136,16.13531434,113.2167451,68.05450748,87.00356018,149.4854721,198.1813958,0.14,0
137,24.21610575,73.08213885,59.2054902,85.27475811,138.2522917,199.8294477,0.15,0
138,30.44145343,67.7923537,68.81710685,86.4532469,143.5075235,194.4492252,0.13,0
139,23.73916632,113.2167451,63.32395071,85.72848571,113.1846745,202.3291115,0.13,0
